datetime,precip_mm,precip_prob,source
2026-09-11 00:00:00,0.0,,dwd
2026-09-11 01:00:00,0.0,,dwd
2026-09-11 02:00:00,0.0,,dwd
2026-09-11 03:00:00,0.0,,dwd
2026-09-11 04:00:00,0.0,,dwd
2026-09-11 05:00:00,0.0,,dwd
2026-09-11 06:00:00,0.0,,dwd
2026-09-11 07:00:00,0.0,,dwd
2026-09-11 08:00:00,0.0,,dwd
2026-09-11 09:00:00,0.0,,dwd
2026-09-11 10:00:00,0.0,,dwd
2026-09-11 11:00:00,0.0,,dwd
2026-09-11 12:00:00,0.0,,dwd
2026-09-11 13:00:00,0.0,,dwd
2026-09-11 14:00:00,0.0,,dwd
2026-09-11 15:00:00,0.0,,dwd
2026-09-11 16:00:00,0.0,,dwd
2026-09-11 17:00:00,0.0,,dwd
2026-09-11 18:00:00,0.0,,dwd
2026-09-11 19:00:00,0.0,,dwd
2026-09-11 20:00:00,0.0,10.0,dwd
2026-09-11 21:00:00,0.0,10.0,dwd
2026-09-11 22:00:00,0.0,12.0,dwd
2026-09-11 23:00:00,0.0,11.0,dwd
2026-09-12 00:00:00,0.0,8.0,dwd
2026-09-12 01:00:00,0.0,6.0,dwd
2026-09-12 02:00:00,0.0,2.0,dwd
2026-09-12 03:00:00,0.0,3.0,dwd
2026-09-12 04:00:00,0.0,3.0,dwd
2026-09-12 05:00:00,0.0,3.0,dwd
2026-09-12 06:00:00,0.0,4.0,dwd
2026-09-12 07:00:00,0.0,4.0,dwd
2026-09-12 08:00:00,0.0,2.0,dwd
2026-09-12 09:00:00,0.0,2.0,dwd
2026-09-12 10:00:00,0.0,2.0,dwd
2026-09-12 11:00:00,0.0,2.0,dwd
2026-09-12 12:00:00,0.0,3.0,dwd
2026-09-12 13:00:00,0.0,3.0,dwd
2026-09-12 14:00:00,0.0,2.0,dwd
2026-09-12 15:00:00,0.0,1.0,dwd
2026-09-12 16:00:00,0.0,2.0,dwd
2026-09-12 17:00:00,0.0,2.0,dwd
2026-09-12 18:00:00,0.0,2.0,dwd
2026-09-12 19:00:00,0.0,4.0,dwd
2026-09-12 20:00:00,0.0,4.0,dwd
2026-09-12 21:00:00,0.0,6.0,dwd
2026-09-12 22:00:00,0.0,9.0,dwd
2026-09-12 23:00:00,0.0,12.0,dwd
2026-09-13 00:00:00,0.0,17.0,dwd
2026-09-13 01:00:00,0.3,26.0,dwd
2026-09-13 02:00:00,0.3,29.0,dwd
2026-09-13 03:00:00,0.4,34.0,dwd
2026-09-13 04:00:00,0.5,39.0,dwd
2026-09-13 05:00:00,0.6,48.0,dwd
2026-09-13 06:00:00,0.6,50.0,dwd
2026-09-13 07:00:00,0.6,53.0,dwd
2026-09-13 08:00:00,0.6,53.0,dwd
2026-09-13 09:00:00,0.5,53.0,dwd
2026-09-13 10:00:00,0.4,50.0,dwd
2026-09-13 11:00:00,0.3,50.0,dwd
2026-09-13 12:00:00,0.3,47.0,dwd
2026-09-13 13:00:00,0.4,39.0,dwd
