datetime,precip_mm,precip_prob,source
2026-09-11 00:00:00,1.0,45,open-meteo
2026-09-11 01:00:00,0.0,40,open-meteo
2026-09-11 02:00:00,1.3,60,open-meteo
2026-09-11 03:00:00,5.4,83,open-meteo
2026-09-11 04:00:00,5.0,88,open-meteo
2026-09-11 05:00:00,0.6,38,open-meteo
2026-09-11 06:00:00,0.0,13,open-meteo
2026-09-11 07:00:00,0.0,13,open-meteo
2026-09-11 08:00:00,0.1,18,open-meteo
2026-09-11 09:00:00,0.7,58,open-meteo
2026-09-11 10:00:00,0.5,63,open-meteo
2026-09-11 11:00:00,0.3,68,open-meteo
2026-09-11 12:00:00,0.3,50,open-meteo
2026-09-11 13:00:00,0.3,30,open-meteo
2026-09-11 14:00:00,0.2,20,open-meteo
2026-09-11 15:00:00,0.0,25,open-meteo
2026-09-11 16:00:00,0.0,8,open-meteo
2026-09-11 17:00:00,0.0,3,open-meteo
2026-09-11 18:00:00,0.0,0,open-meteo
2026-09-11 19:00:00,0.0,0,open-meteo
2026-09-11 20:00:00,0.0,0,open-meteo
2026-09-11 21:00:00,0.0,0,open-meteo
2026-09-11 22:00:00,0.0,0,open-meteo
2026-09-11 23:00:00,0.0,0,open-meteo
2026-09-12 00:00:00,0.0,0,open-meteo
2026-09-12 01:00:00,0.0,0,open-meteo
2026-09-12 02:00:00,0.0,0,open-meteo
2026-09-12 03:00:00,0.0,0,open-meteo
2026-09-12 04:00:00,0.0,0,open-meteo
2026-09-12 05:00:00,0.0,0,open-meteo
2026-09-12 06:00:00,0.0,3,open-meteo
2026-09-12 07:00:00,0.0,3,open-meteo
2026-09-12 08:00:00,0.0,0,open-meteo
2026-09-12 09:00:00,0.0,0,open-meteo
2026-09-12 10:00:00,0.0,0,open-meteo
2026-09-12 11:00:00,0.0,0,open-meteo
2026-09-12 12:00:00,0.0,0,open-meteo
2026-09-12 13:00:00,0.0,0,open-meteo
2026-09-12 14:00:00,0.0,0,open-meteo
2026-09-12 15:00:00,0.0,3,open-meteo
2026-09-12 16:00:00,0.0,3,open-meteo
2026-09-12 17:00:00,0.0,13,open-meteo
2026-09-12 18:00:00,0.0,5,open-meteo
2026-09-12 19:00:00,0.0,0,open-meteo
2026-09-12 20:00:00,0.0,3,open-meteo
2026-09-12 21:00:00,0.0,0,open-meteo
2026-09-12 22:00:00,0.0,0,open-meteo
2026-09-12 23:00:00,0.0,0,open-meteo
2026-09-13 00:00:00,0.0,0,open-meteo
2026-09-13 01:00:00,0.0,0,open-meteo
2026-09-13 02:00:00,0.0,0,open-meteo
2026-09-13 03:00:00,0.0,0,open-meteo
2026-09-13 04:00:00,0.0,0,open-meteo
