f_filter;f_kernel;s_kernel;t_kernel;f_drop;s_filter;f_dense;s_drop;t_filter;test_loss;Epochs
256;3;4;3;0.1;128;64;0.2;256;1.2189254760742188;9.0
64;4;3;2;0.4;64;96;0.2;128;1.296864628791809;11.0
64;3;1;4;0.5;156;64;0.3;64;1.3410531282424927;8.0
96;1;1;5;0.5;156;64;0.4;96;1.3108538389205933;11.0
128;5;2;1;0.5;96;32;0.3;128;1.250125527381897;17.0
128;2;2;3;0.3;32;32;0.1;32;1.2719537019729614;13.0
156;5;2;5;0.4;128;96;0.3;128;1.1101734638214111;13.0
128;1;1;3;0.1;32;96;0.3;256;1.636954665184021;10.0
96;3;5;1;0.5;156;128;0.5;256;1.4801303148269653;20.0
96;2;2;3;0.4;128;96;0.3;32;1.709747552871704;20.0
128;2;4;2;0.4;32;32;0.1;96;1.319483995437622;17.0
256;4;2;3;0.1;96;128;0.1;256;1.4381784200668335;8.0
32;3;4;4;0.1;32;96;0.4;128;1.2733819484710693;11.0
96;3;1;2;0.5;64;64;0.2;256;1.2652215957641602;18.0
128;5;4;3;0.2;96;128;0.2;128;1.4000449180603027;11.0
256;1;3;3;0.1;256;64;0.1;128;1.3159949779510498;10.0
96;2;5;4;0.1;96;96;0.5;64;1.2045447826385498;13.0
64;3;2;2;0.2;256;96;0.1;32;1.2087544202804565;11.0
32;4;4;2;0.3;256;128;0.2;128;1.34683096408844;12.0
256;1;4;3;0.2;64;128;0.4;256;1.3012949228286743;10.0
256;2;1;2;0.3;32;128;0.1;32;1.3185395002365112;13.0
96;4;5;1;0.5;32;128;0.4;256;1.5614538192749023;11.0
256;5;2;4;0.4;256;64;0.5;64;1.2573001384735107;17.0
156;4;1;1;0.2;32;128;0.2;256;1.3622959852218628;10.0
64;2;2;2;0.5;156;96;0.4;96;1.41104257106781;11.0
64;3;2;5;0.2;96;96;0.5;128;1.4259021282196045;14.0
128;3;1;1;0.1;64;96;0.1;256;1.4011017084121704;8.0
156;1;3;4;0.1;156;96;0.5;96;1.566185474395752;14.0
32;5;3;1;0.1;256;96;0.2;96;1.1561118364334106;10.0
128;3;5;3;0.2;32;128;0.1;64;1.291459560394287;15.0
32;2;2;2;0.5;128;32;0.5;32;1.3727465867996216;18.0
64;2;5;1;0.4;128;64;0.1;32;1.2369601726531982;19.0
128;5;2;4;0.4;256;32;0.3;64;1.3527644872665405;11.0
96;5;2;1;0.1;32;32;0.5;64;1.4362595081329346;14.0
32;2;2;4;0.3;256;96;0.4;256;1.2960577011108398;10.0
128;3;5;2;0.3;128;128;0.5;32;1.2315455675125122;15.0
128;4;2;4;0.5;32;96;0.4;96;1.4771461486816406;11.0
64;2;3;1;0.5;32;64;0.4;96;1.2482043504714966;20.0
64;1;3;3;0.3;64;32;0.4;128;1.844015121459961;10.0
32;2;1;1;0.2;256;96;0.4;64;1.4249542951583862;16.0
32;5;3;4;0.3;156;96;0.5;128;1.2122817039489746;11.0
128;3;2;2;0.1;96;128;0.5;128;1.1591352224349976;10.0
128;2;5;2;0.2;256;64;0.4;96;1.3251742124557495;10.0
96;4;5;3;0.5;128;128;0.5;96;1.5555812120437622;8.0
32;5;2;4;0.5;32;96;0.1;128;1.37555992603302;12.0
96;4;5;5;0.5;32;32;0.1;32;1.3899222612380981;13.0
32;1;3;4;0.5;156;96;0.1;96;1.1908024549484253;13.0
256;2;1;4;0.2;156;96;0.4;32;1.2819501161575317;14.0
156;2;1;4;0.1;156;64;0.5;64;1.2886407375335693;15.0
96;2;5;2;0.1;64;32;0.3;128;1.3363769054412842;14.0
64;2;4;2;0.5;156;32;0.2;64;1.2283471822738647;14.0
128;4;4;5;0.3;96;64;0.4;256;1.1788063049316406;15.0
32;5;2;2;0.3;96;96;0.2;128;1.314492106437683;10.0
128;4;2;5;0.2;256;64;0.5;256;1.2680177688598633;10.0
32;4;3;1;0.2;32;128;0.5;64;1.3115695714950562;15.0
96;4;2;2;0.3;128;128;0.3;128;1.3013863563537598;13.0
32;4;4;3;0.1;128;128;0.2;256;1.2075978517532349;9.0
96;1;5;5;0.1;256;128;0.4;96;1.4645105600357056;11.0
128;5;2;4;0.3;64;64;0.3;32;1.1059962511062622;12.0
64;3;5;3;0.3;32;96;0.1;96;1.1999571323394775;9.0
64;3;2;2;0.5;128;64;0.4;64;1.271971344947815;11.0
128;3;1;5;0.3;156;128;0.4;96;1.192760944366455;10.0
128;4;1;4;0.2;96;64;0.1;128;1.336513638496399;12.0
