f_filter;f_kernel;s_kernel;t_kernel;f_drop;s_filter;f_dense;s_drop;t_filter;test_loss;Epochs
128;3;5;1;0.1;128;32;0.1;64;1.2050262689590454;10.0
256;3;4;3;0.3;64;128;0.5;256;1.1909223794937134;18.0
32;4;4;1;0.2;156;64;0.2;64;1.2828630208969116;16.0
32;1;4;5;0.5;256;64;0.2;64;1.02349054813385;14.0
32;3;3;5;0.1;256;128;0.5;256;1.2889610528945923;12.0
32;4;3;4;0.4;128;32;0.2;128;1.1397857666015625;24.0
156;1;5;2;0.3;256;32;0.2;256;2.714129686355591;7.0
256;5;2;2;0.2;96;96;0.4;64;1.0628886222839355;19.0
156;1;5;2;0.1;32;32;0.3;128;1.2167738676071167;21.0
256;4;2;4;0.2;128;128;0.2;256;1.1176528930664062;14.0
256;2;3;5;0.3;96;128;0.3;32;1.0596468448638916;12.0
256;3;4;3;0.4;256;96;0.4;96;1.0673856735229492;17.0
32;1;5;4;0.2;32;128;0.3;128;1.0419374704360962;11.0
96;1;2;3;0.2;64;96;0.2;32;1.1177231073379517;14.0
128;2;5;3;0.4;32;32;0.1;32;1.0761511325836182;22.0
256;4;3;2;0.4;64;96;0.4;128;1.0343421697616577;23.0
96;5;4;1;0.1;32;64;0.2;32;1.122276782989502;14.0
156;5;2;4;0.3;128;96;0.2;64;1.2062276601791382;14.0
156;1;3;5;0.3;156;128;0.5;32;1.069266676902771;16.0
64;1;1;3;0.3;156;96;0.2;96;1.2664928436279297;15.0
256;2;3;4;0.3;96;64;0.2;32;1.1923437118530273;14.0
156;1;1;5;0.3;96;128;0.5;256;1.0727252960205078;11.0
256;3;4;4;0.1;64;32;0.4;128;1.23495352268219;11.0
156;1;1;3;0.2;96;32;0.2;32;1.2522263526916504;21.0
64;5;2;1;0.3;64;96;0.2;32;1.1492822170257568;14.0
128;4;5;5;0.2;128;32;0.4;256;1.1875718832015991;17.0
96;1;5;1;0.1;32;128;0.2;128;1.025676965713501;12.0
256;4;5;4;0.3;64;32;0.5;256;1.2638797760009766;23.0
156;5;2;1;0.5;128;32;0.5;256;1.221063494682312;30.0
156;2;4;3;0.1;156;96;0.3;32;1.2027946710586548;11.0
64;1;4;5;0.4;256;64;0.4;128;0.9944556951522827;16.0
64;5;2;5;0.5;32;96;0.4;256;1.047814130783081;19.0
64;2;5;3;0.4;32;128;0.3;64;1.035292148590088;21.0
64;2;5;1;0.4;156;96;0.3;64;1.1209920644760132;15.0
96;5;4;5;0.3;128;96;0.1;128;1.034593939781189;16.0
156;1;3;5;0.1;64;64;0.2;128;1.1789653301239014;11.0
96;5;3;1;0.4;156;32;0.4;256;1.2321922779083252;29.0
156;4;5;1;0.3;64;96;0.2;32;1.0435272455215454;20.0
64;3;2;3;0.2;256;64;0.4;128;1.0266284942626953;12.0
128;3;4;1;0.3;64;32;0.1;256;1.0986356735229492;16.0
128;3;4;1;0.5;64;32;0.4;256;1.177868366241455;29.0
156;4;1;5;0.3;64;96;0.2;96;1.0632565021514893;9.0
32;5;5;5;0.2;96;96;0.2;32;1.0107401609420776;11.0
64;2;1;4;0.2;128;64;0.1;128;1.2704803943634033;11.0
256;2;3;5;0.1;32;128;0.3;256;1.3092308044433594;11.0
96;4;1;5;0.2;96;128;0.3;64;1.0571341514587402;8.0
96;1;2;4;0.5;256;64;0.3;128;0.9982620477676392;19.0
156;5;5;5;0.3;128;96;0.4;256;1.0970633029937744;15.0
156;2;4;3;0.1;32;64;0.2;32;1.0915992259979248;20.0
64;1;3;2;0.3;64;32;0.4;256;1.2736787796020508;26.0
96;3;5;3;0.2;96;32;0.1;128;1.2676653861999512;14.0
64;5;2;2;0.2;32;32;0.2;32;1.1329399347305298;18.0
128;3;4;3;0.2;156;32;0.2;32;1.2710423469543457;13.0
96;5;3;1;0.4;128;96;0.4;32;1.061069130897522;23.0
64;3;2;5;0.4;256;32;0.1;32;1.1034902334213257;17.0
96;4;4;1;0.5;64;128;0.1;96;1.1573210954666138;20.0
256;3;1;2;0.4;96;128;0.5;64;1.2172434329986572;13.0
64;4;5;5;0.1;32;32;0.4;64;1.1576335430145264;14.0
156;2;2;2;0.3;32;128;0.3;32;1.131131649017334;17.0
156;2;2;1;0.2;96;96;0.5;64;1.0359870195388794;21.0
156;2;1;2;0.1;128;128;0.1;256;1.1606147289276123;8.0
32;2;1;4;0.4;96;96;0.2;96;1.1447662115097046;13.0
32;1;5;1;0.1;256;128;0.5;32;1.2261193990707397;15.0
128;2;2;3;0.3;128;32;0.4;32;1.010378360748291;24.0
156;4;1;4;0.4;156;32;0.1;256;1.080283522605896;15.0
256;5;1;2;0.5;256;96;0.5;64;1.266964077949524;19.0
156;4;4;5;0.5;32;128;0.4;64;1.4303284883499146;12.0
32;1;4;5;0.1;256;32;0.5;128;1.1657339334487915;16.0
128;3;4;1;0.5;96;128;0.4;96;1.0914965867996216;26.0
96;5;4;3;0.3;256;96;0.2;96;1.123693823814392;13.0
128;2;2;5;0.5;256;96;0.3;64;0.9781923890113831;15.0
256;2;2;1;0.4;256;32;0.5;128;2.733499526977539;7.0
64;4;3;3;0.5;128;96;0.5;96;1.1266833543777466;20.0
96;4;3;2;0.1;156;96;0.5;256;1.164204716682434;15.0
64;2;3;5;0.1;156;32;0.3;32;1.084482192993164;13.0
128;1;2;4;0.2;128;96;0.4;256;1.1569503545761108;14.0
