f_filter;f_kernel;s_kernel;t_kernel;f_drop;s_filter;f_dense;s_drop;t_filter;test_loss;Epochs
128;3;4;4;0.2;256;128;0.5;96;2.5577757358551025;1.0
64;3;3;1;0.3;32;96;0.3;32;2.442208766937256;1.0
156;3;4;2;0.2;128;32;0.1;64;2.4624223709106445;1.0
256;5;1;1;0.3;96;32;0.5;256;2.3418991565704346;1.0
32;2;1;3;0.2;64;32;0.1;128;2.4876654148101807;1.0
96;4;4;2;0.5;156;32;0.4;256;2.5184831619262695;1.0
156;4;1;2;0.1;96;32;0.5;32;2.3849122524261475;1.0
96;1;1;5;0.2;96;32;0.1;64;2.5073728561401367;1.0
128;3;3;2;0.4;32;32;0.2;128;2.501202344894409;1.0
64;1;5;4;0.5;64;128;0.5;128;2.4619791507720947;1.0
32;4;1;4;0.2;156;64;0.3;96;2.3615872859954834;1.0
256;3;4;5;0.3;32;64;0.2;128;2.096889019012451;1.0
64;4;1;1;0.3;128;32;0.2;64;2.5598530769348145;1.0
32;1;4;2;0.4;32;32;0.4;128;2.5593178272247314;1.0
64;5;1;2;0.5;32;32;0.5;32;2.5889651775360107;1.0
128;2;5;4;0.3;128;128;0.2;256;2.148761510848999;1.0
96;1;2;4;0.3;128;32;0.1;32;2.4279751777648926;1.0
256;4;1;2;0.2;156;64;0.1;32;2.052366256713867;1.0
156;1;4;4;0.2;64;64;0.2;256;2.0688259601593018;1.0
128;2;5;5;0.5;96;128;0.2;64;2.364595651626587;1.0
64;3;1;3;0.2;64;96;0.4;128;2.7155723571777344;1.0
64;5;5;4;0.4;156;96;0.2;96;2.504687547683716;1.0
256;5;4;5;0.5;256;96;0.1;256;2.449289321899414;1.0
256;3;2;1;0.4;256;128;0.4;96;2.303509473800659;1.0
156;3;4;5;0.1;96;96;0.2;96;2.5252761840820312;1.0
32;4;2;5;0.1;156;96;0.3;96;2.3522849082946777;1.0
256;4;4;5;0.3;128;128;0.4;96;2.3996012210845947;1.0
64;4;4;3;0.5;256;128;0.4;32;2.380453586578369;1.0
96;5;5;5;0.4;128;128;0.5;64;2.372488498687744;1.0
32;2;3;1;0.3;32;128;0.5;96;2.834108829498291;7.0
128;5;1;3;0.4;96;128;0.2;32;1.6203665733337402;9.0
64;4;1;3;0.2;128;32;0.1;96;2.8361430168151855;5.0
32;3;2;4;0.3;156;128;0.4;32;1.740983486175537;13.0
156;5;4;5;0.5;256;128;0.3;64;1.9244381189346313;13.0
128;3;3;2;0.3;32;64;0.5;256;1.690260648727417;14.0
156;2;3;1;0.2;156;128;0.2;64;1.7553329467773438;8.0
156;3;3;5;0.5;128;64;0.3;96;2.838151216506958;5.0
64;1;3;2;0.5;64;32;0.1;128;2.83463191986084;6.0
156;1;4;1;0.2;64;64;0.2;96;1.8924319744110107;11.0
96;5;2;2;0.5;156;128;0.1;256;1.849064588546753;10.0
64;2;5;3;0.2;96;128;0.5;128;1.9298279285430908;13.0
256;4;2;1;0.1;96;64;0.5;256;1.7716764211654663;10.0
128;3;4;4;0.3;128;128;0.3;96;1.5291200876235962;9.0
96;1;5;5;0.3;96;32;0.1;64;2.918727397918701;10.0
32;4;5;1;0.1;32;128;0.3;128;1.9454079866409302;10.0
32;3;1;2;0.1;32;32;0.1;64;2.9186553955078125;6.0
256;5;1;1;0.5;128;128;0.1;64;1.8241386413574219;10.0
128;2;4;1;0.2;256;64;0.1;32;1.8828128576278687;13.0
64;3;5;3;0.2;128;128;0.1;128;2.0313758850097656;7.0
64;5;4;5;0.2;96;96;0.2;96;1.6501951217651367;8.0
96;4;5;5;0.5;64;32;0.1;96;2.919576406478882;14.0
64;3;1;2;0.4;32;128;0.2;32;1.6228406429290771;10.0
128;1;2;3;0.1;128;96;0.4;96;1.7965495586395264;7.0
156;4;2;4;0.5;128;64;0.1;64;1.8690506219863892;13.0
96;5;3;2;0.2;32;96;0.4;96;1.796266794204712;10.0
64;4;5;5;0.2;256;32;0.2;96;2.9186174869537354;10.0
256;2;4;4;0.3;96;96;0.3;128;1.6228107213974;12.0
32;3;2;3;0.5;256;32;0.5;128;2.918915033340454;18.0
