f_filter;f_kernel;s_kernel;t_kernel;f_drop;s_filter;f_dense;s_drop;t_filter;test_loss;Epochs
64;2;1;4;0.1;128;32;0.4;32;2.9130654335021973;7.0
256;3;5;2;0.3;32;96;0.2;256;1.7350486516952515;14.0
32;2;3;4;0.1;128;96;0.5;128;1.8340725898742676;16.0
156;1;3;4;0.4;32;128;0.1;256;1.5127475261688232;11.0
32;2;1;4;0.4;32;128;0.4;96;1.493159294128418;11.0
96;3;5;3;0.2;128;96;0.2;32;1.7341282367706299;8.0
64;2;5;2;0.3;128;128;0.5;256;1.5786634683609009;11.0
64;5;5;4;0.2;64;96;0.1;256;1.8693517446517944;8.0
128;3;3;4;0.1;96;128;0.3;32;1.8701165914535522;11.0
156;5;2;1;0.4;256;32;0.4;128;2.913800001144409;6.0
96;3;3;1;0.1;96;64;0.5;32;1.685539722442627;14.0
256;1;5;5;0.3;64;128;0.3;128;1.6096365451812744;10.0
256;4;3;1;0.1;128;128;0.4;128;1.7868735790252686;11.0
64;2;3;1;0.5;32;32;0.1;32;1.4833585023880005;17.0
156;5;1;3;0.1;156;64;0.4;32;1.5140511989593506;13.0
96;1;1;1;0.4;32;96;0.4;256;2.9135751724243164;6.0
256;4;3;5;0.4;156;32;0.2;96;2.9134461879730225;6.0
96;4;4;5;0.1;32;128;0.1;32;1.7537860870361328;6.0
128;3;2;2;0.5;64;32;0.4;128;2.913128137588501;7.0
64;3;3;2;0.3;128;128;0.1;256;1.9182684421539307;9.0
156;5;4;5;0.4;128;64;0.3;32;1.5491607189178467;13.0
96;1;5;1;0.5;96;128;0.5;256;1.4283442497253418;23.0
32;3;4;2;0.2;156;64;0.2;96;1.7684944868087769;8.0
96;3;5;4;0.2;64;64;0.3;96;1.8154770135879517;12.0
32;3;2;2;0.2;96;96;0.3;64;1.7777540683746338;8.0
256;2;3;2;0.4;32;64;0.2;256;1.790859341621399;15.0
32;5;2;4;0.2;156;64;0.3;32;1.6518635749816895;10.0
156;3;2;5;0.3;32;128;0.4;32;1.4519559144973755;11.0
256;5;2;5;0.4;32;128;0.4;32;1.6275235414505005;16.0
96;3;1;3;0.3;256;32;0.1;32;1.7324320077896118;10.0
32;1;2;2;0.4;156;64;0.4;32;2.9133269786834717;6.0
96;4;3;5;0.3;32;32;0.1;128;1.6198887825012207;13.0
256;3;2;4;0.4;64;96;0.3;32;2.0055720806121826;12.0
96;2;4;4;0.1;128;32;0.5;64;2.913611888885498;6.0
96;1;5;2;0.5;156;64;0.2;32;1.7361063957214355;11.0
32;3;2;2;0.5;96;64;0.4;64;2.913477897644043;6.0
96;1;5;2;0.4;64;32;0.2;32;2.913321018218994;7.0
64;1;5;5;0.5;32;96;0.4;256;1.438790202140808;17.0
256;3;2;1;0.1;128;64;0.2;96;2.0209238529205322;8.0
96;4;1;1;0.4;32;96;0.4;256;1.4869662523269653;18.0
64;4;4;5;0.4;156;128;0.3;32;1.878497838973999;12.0
156;3;2;2;0.3;128;96;0.5;64;1.6523178815841675;16.0
256;5;5;3;0.4;256;96;0.5;32;2.0217368602752686;15.0
32;2;4;5;0.3;128;128;0.2;32;1.9898899793624878;11.0
256;3;1;2;0.4;64;32;0.3;256;2.913234233856201;6.0
32;4;4;2;0.2;32;32;0.2;128;2.9131219387054443;6.0
32;2;2;5;0.5;96;128;0.4;256;1.6057990789413452;13.0
128;4;4;1;0.3;32;96;0.5;128;1.6997871398925781;20.0
96;2;5;5;0.4;256;96;0.5;96;1.6074515581130981;14.0
64;3;2;5;0.2;256;96;0.2;128;2.0078232288360596;9.0
96;5;5;4;0.3;128;128;0.4;256;1.6005185842514038;12.0
32;3;3;1;0.3;256;64;0.3;128;2.913508653640747;7.0
128;1;5;1;0.3;156;96;0.4;256;2.9130606651306152;8.0
256;4;3;1;0.4;128;128;0.4;256;1.5801562070846558;19.0
256;4;4;4;0.4;256;96;0.3;96;2.1262927055358887;22.0
156;5;4;1;0.1;32;96;0.1;256;1.7182060480117798;11.0
96;1;3;1;0.4;96;32;0.4;96;2.913577079772949;6.0
64;3;2;4;0.3;256;96;0.4;32;1.503511905670166;11.0
64;2;4;4;0.1;156;96;0.4;256;1.9335870742797852;12.0
96;3;1;1;0.3;96;64;0.2;128;1.7028650045394897;15.0
128;3;4;3;0.5;128;32;0.3;96;2.9134955406188965;6.0
