f_gru;f_drop;s_gru;f_dense;s_dense;s_drop;t_dense;test_loss;Epochs
96;0.4;96;32;96;0.1;64;1.3262958526611328;12.0
156;0.2;96;96;96;0.5;96;1.408531665802002;18.0
156;0.4;96;128;64;0.4;96;1.3093253374099731;13.0
64;0.5;32;32;128;0.5;96;1.308719277381897;12.0
32;0.5;64;64;96;0.4;96;1.313310980796814;10.0
156;0.5;128;64;96;0.4;32;1.42828369140625;12.0
128;0.5;64;96;32;0.2;64;1.796887755393982;13.0
64;0.2;128;96;64;0.5;96;1.4895071983337402;22.0
156;0.2;64;96;64;0.4;64;1.2677377462387085;19.0
64;0.3;64;96;128;0.3;32;1.3775936365127563;13.0
128;0.1;32;96;128;0.4;96;1.2507381439208984;11.0
96;0.3;64;96;32;0.2;128;1.3025498390197754;14.0
64;0.4;156;32;64;0.4;32;1.3830887079238892;16.0
