f_gru;f_drop;s_gru;f_dense;s_dense;s_drop;t_dense;test_loss;Epochs
64;0.5;64;96;96;0.2;96;1.7565877437591553;12.0
128;0.3;32;64;64;0.1;128;1.7035356760025024;14.0
32;0.2;32;128;128;0.2;96;1.7474285364151;14.0
156;0.4;32;128;96;0.1;128;1.6624752283096313;14.0
32;0.2;128;128;64;0.2;32;1.644034743309021;22.0
156;0.3;32;128;128;0.3;128;1.4940507411956787;15.0
156;0.4;128;64;64;0.4;32;1.9864965677261353;13.0
64;0.4;96;96;32;0.5;128;2.0186657905578613;13.0
156;0.1;96;128;96;0.4;64;1.6210405826568604;16.0
128;0.3;32;96;128;0.1;64;1.7561570405960083;12.0
32;0.5;64;128;96;0.5;32;1.6864581108093262;19.0
64;0.1;128;32;32;0.2;96;1.542048454284668;20.0
128;0.2;96;64;96;0.3;32;1.7335598468780518;11.0
156;0.1;156;64;128;0.2;128;1.4352291822433472;17.0
96;0.4;128;128;128;0.5;128;1.5618512630462646;30.0
128;0.5;156;96;96;0.4;32;1.4533779621124268;23.0
64;0.2;156;96;64;0.5;96;1.8066564798355103;18.0
128;0.1;96;96;32;0.2;32;1.3078724145889282;25.0
64;0.5;156;64;64;0.5;96;1.3461673259735107;30.0
32;0.2;96;128;32;0.3;32;1.7167508602142334;22.0
96;0.5;96;128;96;0.4;32;1.5584617853164673;21.0
156;0.2;128;32;64;0.2;128;1.5404062271118164;22.0
64;0.4;96;128;96;0.3;96;1.7210032939910889;12.0
156;0.1;128;128;128;0.3;32;1.451046109199524;21.0
128;0.1;32;96;64;0.3;96;1.5125027894973755;22.0
32;0.5;64;96;64;0.4;96;1.8260884284973145;25.0
128;0.5;156;32;96;0.1;128;1.5666019916534424;17.0
96;0.3;156;32;32;0.1;64;1.2427412271499634;15.0
64;0.4;96;128;32;0.4;64;1.8028405904769897;16.0
96;0.2;128;128;128;0.1;32;1.8534929752349854;19.0
128;0.4;96;96;64;0.5;32;1.7409980297088623;17.0
