f_gru;f_drop;s_gru;f_dense;s_dense;s_drop;t_dense;test_loss;Epochs
32;0.5;32;64;64;0.5;128;1.8927181959152222;16.0
156;0.5;96;32;128;0.3;64;1.615270972251892;19.0
32;0.2;128;64;64;0.1;128;1.7389180660247803;17.0
128;0.5;128;64;96;0.4;128;1.4758265018463135;24.0
128;0.4;96;64;128;0.4;32;1.5279810428619385;20.0
128;0.3;32;64;32;0.1;64;1.5698741674423218;15.0
32;0.5;96;64;64;0.3;64;1.8540871143341064;15.0
64;0.3;128;128;128;0.4;32;1.5045111179351807;19.0
96;0.5;156;64;128;0.2;96;2.2746100425720215;17.0
156;0.4;64;128;64;0.5;32;1.6748249530792236;18.0
156;0.2;64;128;96;0.4;96;1.7364248037338257;25.0
96;0.2;96;96;32;0.1;128;1.7554503679275513;19.0
128;0.2;128;64;128;0.5;64;1.4413156509399414;27.0
156;0.2;156;96;128;0.2;64;1.53349769115448;23.0
32;0.5;156;96;96;0.3;32;1.4912240505218506;25.0
64;0.3;32;32;64;0.5;96;1.692763328552246;25.0
32;0.2;96;96;96;0.2;32;1.6353899240493774;16.0
96;0.1;128;128;64;0.2;128;1.622178077697754;18.0
32;0.5;32;32;96;0.3;128;1.603679895401001;16.0
96;0.4;156;32;64;0.3;32;1.6925979852676392;19.0
64;0.3;96;64;96;0.1;32;1.4599604606628418;17.0
128;0.2;156;64;64;0.2;96;1.5903502702713013;13.0
156;0.5;128;32;128;0.3;128;1.407414436340332;20.0
32;0.5;156;128;32;0.3;32;1.5011247396469116;24.0
156;0.3;96;32;128;0.1;96;1.603691816329956;14.0
96;0.4;128;128;32;0.3;64;1.5170224905014038;21.0
64;0.3;32;128;64;0.3;64;1.5611895322799683;21.0
32;0.4;64;32;128;0.4;64;1.4284485578536987;19.0
128;0.4;96;32;128;0.4;64;1.5042407512664795;19.0
32;0.2;156;96;96;0.1;32;1.7511470317840576;13.0
156;0.2;96;32;96;0.2;64;1.7072685956954956;18.0
156;0.5;64;32;32;0.1;64;1.3760887384414673;16.0
32;0.1;64;64;64;0.1;96;1.5623157024383545;10.0
96;0.3;96;128;128;0.1;32;1.4685324430465698;24.0
64;0.3;96;96;32;0.3;64;1.557694435119629;14.0
156;0.2;96;32;32;0.4;128;1.6506178379058838;19.0
156;0.4;32;32;128;0.5;32;1.3926043510437012;20.0
128;0.5;156;128;96;0.4;32;1.3107523918151855;26.0
32;0.1;32;96;128;0.5;32;1.5782617330551147;21.0
96;0.2;32;128;32;0.1;32;1.4417836666107178;16.0
32;0.4;156;64;96;0.2;96;1.341833233833313;26.0
128;0.3;32;96;32;0.4;96;1.7334256172180176;14.0
32;0.3;128;128;32;0.5;128;1.9015514850616455;12.0
128;0.4;128;64;64;0.5;96;1.3424842357635498;30.0
64;0.4;64;64;32;0.4;32;1.6596673727035522;20.0
96;0.2;128;32;128;0.5;128;1.592595100402832;15.0
64;0.3;156;96;32;0.5;128;1.7116702795028687;27.0
32;0.5;64;128;64;0.2;64;1.7344759702682495;10.0
32;0.3;156;64;64;0.4;128;1.5365020036697388;15.0
128;0.5;32;32;32;0.5;32;1.9356069564819336;19.0
64;0.2;96;128;32;0.2;64;1.3849111795425415;20.0
156;0.4;32;32;96;0.2;64;1.3735944032669067;17.0
96;0.4;32;128;96;0.3;128;1.6008319854736328;12.0
32;0.1;156;128;128;0.1;32;1.412168264389038;14.0
32;0.1;96;32;128;0.5;32;1.5015822649002075;27.0
128;0.4;156;96;128;0.3;128;1.72879958152771;9.0
96;0.5;32;64;64;0.3;96;1.5715705156326294;11.0
156;0.2;32;96;128;0.5;64;1.5899418592453003;13.0
64;0.1;32;32;128;0.3;96;1.5640214681625366;11.0
96;0.2;64;96;128;0.2;128;1.5120904445648193;17.0
32;0.2;128;64;96;0.4;128;1.5268830060958862;15.0
32;0.2;96;96;128;0.1;32;1.357187032699585;17.0
128;0.1;96;64;128;0.3;32;1.392125129699707;19.0
64;0.4;156;96;128;0.3;64;1.4714882373809814;16.0
96;0.5;128;64;64;0.2;128;1.362280249595642;17.0
128;0.4;64;64;64;0.2;64;1.8322312831878662;10.0
128;0.4;32;64;64;0.4;128;1.451318621635437;18.0
96;0.3;156;128;96;0.2;32;1.4326027631759644;17.0
32;0.3;32;96;96;0.1;32;1.5772699117660522;10.0
64;0.2;128;96;96;0.1;32;1.416196346282959;17.0
32;0.2;32;64;64;0.5;96;1.673755407333374;17.0
32;0.3;96;96;32;0.1;32;1.3387527465820312;19.0
96;0.3;156;64;64;0.1;128;1.304671287536621;16.0
