[2025-02-08 19:51:00][MAIN] - Contacting Arduino..
[2025-02-08 19:51:00][MAIN] - Arduino found!
[2025-02-08 19:51:00][MAIN] - Actuator running.
[2025-02-08 19:51:00][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-08 19:51:02][MAIN] - Already up to date.
[2025-02-08 19:51:02][MAIN] - To Arduino: LIGHTSON
[2025-02-08 19:51:05][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-08 19:51:05][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-08 19:51:05][FLASK] -  * Serving Flask app 'server'
[2025-02-08 19:51:05][FLASK] -  * Debug mode: off
[2025-02-08 19:51:05][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-08 19:51:05][WEBSOCKET] -  * Debug mode: off
[2025-02-08 19:51:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:51:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:51:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:51:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:51:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:51:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:52:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:52:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:52:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:52:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:52:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:52:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:53:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:53:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:53:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:53:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:53:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:54:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:54:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:54:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:54:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:54:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:54:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:55:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:55:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:55:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:55:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:55:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:55:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:56:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:56:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:56:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:56:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:56:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:56:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:57:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:57:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:57:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:57:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:57:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:57:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:58:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:58:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:58:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:58:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:58:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:58:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:59:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:59:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:59:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:59:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:59:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 19:59:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 20:00:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-08 20:00:12][FLASK] - AUDIO: {'audio': 'pingvol'}
