[2025-02-09 04:00:23][MAIN] - Contacting Arduino..
[2025-02-09 04:00:24][MAIN] - Arduino found!
[2025-02-09 04:00:24][MAIN] - Actuator running.
[2025-02-09 04:00:24][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 04:00:25][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 04:00:28][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 04:00:28][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-09 04:00:28][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-09 04:00:28][FLASK] -  * Serving Flask app 'server'
[2025-02-09 04:00:28][FLASK] -  * Debug mode: off
[2025-02-09 04:00:28][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-09 04:00:28][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-09 04:00:28][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-09 04:00:28][WEBSOCKET] -  * Debug mode: off
[2025-02-09 04:00:30][MAIN] - Already up to date.
[2025-02-09 04:00:30][MAIN] - Audio set on automatically
[2025-02-09 04:00:30][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 04:00:31][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 04:00:31][MAIN] - To Arduino: STRIPTOPG4
[2025-02-09 04:00:31][MAIN] - Command AUDIOON sent
[2025-02-09 04:00:31][MAIN] - To Arduino: LIGHTSOFF
[2025-02-09 04:03:30][MAIN] - Audio set off automatically
[2025-02-09 04:03:30][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 04:03:31][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 04:03:34][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 04:03:34][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-09 04:03:34][MAIN] - Command AUDIOOFF sent
[2025-02-09 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-09 09:08:45][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-09 09:08:45][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 09:08:46][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-09 09:08:46][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-09 09:08:46][MAIN] - To Arduino: STRIPTOPG4
[2025-02-09 09:08:46][MAIN] - Command AUDIOON sent
[2025-02-09 09:08:47][MAIN] - To Arduino: STRIPOFF
