[2025-02-23 17:13:55][MAIN] - Bot is ready.
[2025-02-23 17:13:56][MAIN] - Contacting Arduino..
[2025-02-23 17:13:56][MAIN] - Arduino found!
[2025-02-23 17:13:56][MAIN] - Actuator running.
[2025-02-23 17:13:56][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-23 17:13:57][MAIN] - Already up to date.
[2025-02-23 17:13:57][MAIN] - To Arduino: LIGHTSON
[2025-02-23 17:14:01][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-23 17:14:01][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-23 17:14:01][FLASK] -  * Serving Flask app 'server'
[2025-02-23 17:14:01][FLASK] -  * Debug mode: off
[2025-02-23 17:14:01][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-23 17:14:01][WEBSOCKET] -  * Debug mode: off
[2025-02-23 17:14:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:14:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:14:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:14:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:14:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:15:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:15:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:15:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:15:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:15:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:15:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:16:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:16:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:16:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:16:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:16:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:16:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:17:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:17:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:17:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:17:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:17:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:17:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:18:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:18:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:18:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:18:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:18:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:18:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:19:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:19:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:19:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:19:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:19:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:19:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:20:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:20:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:20:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:20:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:20:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:20:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:21:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:21:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:21:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:21:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:21:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:21:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:22:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:22:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:22:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:22:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:22:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:22:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:23:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:23:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:23:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:23:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:23:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:23:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:24:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:24:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:24:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:24:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:24:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:24:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:25:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:25:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:25:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:25:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:25:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:25:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:26:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:26:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:26:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:26:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:26:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:26:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:27:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:27:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:27:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:27:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:27:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:27:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:28:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:28:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:28:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:28:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:28:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:28:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:29:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:29:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:29:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:29:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:29:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:29:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:30:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:30:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:30:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:30:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:30:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:30:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:31:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:31:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:31:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:31:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:31:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:31:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:32:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:32:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:32:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:32:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:32:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:32:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:33:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:33:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:33:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:33:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:33:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:33:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:34:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:34:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:34:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:34:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:34:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:34:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:35:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:35:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:35:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:35:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:35:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:35:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:36:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:36:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:36:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:36:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:36:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:36:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:37:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:37:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:37:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:37:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:37:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:37:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:38:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:38:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:38:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:38:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:38:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:38:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:39:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:39:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:39:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:39:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:39:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:39:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 17:40:06][FLASK] - AUDIO: {'audio': 'pingvol'}
