X0;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;target;Y0;Y1
0.0;0.0;6.0;16.0;16.0;7.0;0.0;0.0;0.0;8.0;16.0;13.0;10.0;16.0;0.0;0.0;0.0;6.0;9.0;0.0;6.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;9.0;0.0;0.0;0.0;0.0;0.0;6.0;16.0;1.0;0.0;0.0;0.0;0.0;1.0;15.0;8.0;3.0;5.0;0.0;0.0;0.0;8.0;16.0;11.0;16.0;9.0;0.0;0.0;0.0;5.0;16.0;16.0;7.0;0.0;0.0;2.0;-0.1678838707820496;-0.45466924076811166
0.0;0.0;3.0;6.0;14.0;5.0;0.0;0.0;0.0;0.0;7.0;15.0;15.0;13.0;0.0;0.0;0.0;0.0;3.0;14.0;13.0;12.0;0.0;0.0;0.0;0.0;0.0;16.0;13.0;1.0;0.0;0.0;0.0;0.0;2.0;16.0;8.0;0.0;0.0;0.0;0.0;0.0;10.0;9.0;14.0;0.0;0.0;0.0;0.0;0.0;12.0;4.0;15.0;2.0;0.0;0.0;0.0;0.0;4.0;15.0;14.0;0.0;0.0;0.0;8.0;-0.7805248128950509;-1.0073077442313625
0.0;0.0;3.0;15.0;13.0;2.0;0.0;0.0;0.0;0.0;10.0;16.0;12.0;13.0;0.0;0.0;0.0;0.0;13.0;13.0;9.0;14.0;0.0;0.0;0.0;0.0;6.0;15.0;15.0;11.0;0.0;0.0;0.0;0.0;4.0;16.0;14.0;1.0;0.0;0.0;0.0;0.0;11.0;14.0;15.0;5.0;0.0;0.0;0.0;0.0;9.0;10.0;14.0;9.0;0.0;0.0;0.0;0.0;4.0;16.0;15.0;2.0;0.0;0.0;8.0;-0.6660078386360494;-0.9216356911410007
0.0;0.0;6.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;6.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;15.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;15.0;0.0;0.0;0.0;0.0;0.0;7.0;10.0;14.0;12.0;5.0;1.0;0.0;0.0;6.0;16.0;16.0;16.0;16.0;12.0;1.0;-0.20514547450531267;0.8528458398041103
0.0;2.0;13.0;16.0;12.0;0.0;0.0;0.0;0.0;9.0;15.0;10.0;16.0;3.0;0.0;0.0;0.0;5.0;7.0;5.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;10.0;14.0;0.0;0.0;0.0;0.0;0.0;5.0;16.0;7.0;0.0;0.0;0.0;0.0;0.0;14.0;16.0;1.0;3.0;7.0;1.0;0.0;3.0;16.0;12.0;10.0;16.0;11.0;1.0;0.0;0.0;13.0;16.0;13.0;7.0;1.0;0.0;2.0;-0.19069964784372387;-0.42247114921954976
0.0;0.0;2.0;14.0;14.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;14.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;10.0;16.0;5.0;0.0;0.0;0.0;0.0;0.0;12.0;14.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;13.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;11.0;0.0;0.0;0.0;0.0;0.0;2.0;15.0;12.0;0.0;0.0;0.0;1.0;-0.8760902591561519;-1.23009419905892
0.0;0.0;1.0;13.0;14.0;1.0;0.0;0.0;0.0;1.0;11.0;16.0;10.0;12.0;0.0;0.0;0.0;6.0;16.0;15.0;0.0;13.0;3.0;0.0;0.0;7.0;14.0;5.0;0.0;8.0;9.0;0.0;0.0;6.0;13.0;0.0;0.0;8.0;11.0;0.0;0.0;4.0;15.0;0.0;1.0;14.0;9.0;0.0;0.0;0.0;14.0;8.0;12.0;16.0;3.0;0.0;0.0;0.0;3.0;15.0;15.0;4.0;0.0;0.0;0.0;0.8571344343647191;1.5730791320458866
0.0;0.0;8.0;12.0;13.0;5.0;0.0;0.0;0.0;4.0;13.0;4.0;9.0;11.0;0.0;0.0;0.0;0.0;0.0;6.0;13.0;4.0;0.0;0.0;0.0;0.0;0.0;10.0;15.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;15.0;2.0;0.0;0.0;7.0;8.0;0.0;0.0;12.0;7.0;0.0;0.0;8.0;9.0;1.0;3.0;16.0;3.0;0.0;0.0;0.0;10.0;16.0;16.0;6.0;0.0;0.0;3.0;0.26356933686984774;0.06660232115124473
0.0;0.0;2.0;13.0;16.0;8.0;0.0;0.0;0.0;0.0;11.0;16.0;6.0;2.0;0.0;0.0;0.0;2.0;16.0;8.0;0.0;0.0;0.0;0.0;0.0;5.0;16.0;9.0;1.0;0.0;0.0;0.0;0.0;5.0;16.0;16.0;13.0;2.0;0.0;0.0;0.0;1.0;16.0;6.0;8.0;14.0;0.0;0.0;0.0;0.0;11.0;10.0;1.0;16.0;5.0;0.0;0.0;0.0;3.0;15.0;16.0;16.0;3.0;0.0;6.0;1.9390109604924886;-0.12341078866657533
0.0;0.0;0.0;13.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;16.0;1.0;0.0;0.0;0.0;0.0;1.0;15.0;16.0;1.0;0.0;0.0;0.0;0.0;4.0;16.0;16.0;3.0;0.0;0.0;0.0;0.0;5.0;15.0;16.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;15.0;1.0;0.0;0.0;0.0;1.0;11.0;9.0;16.0;11.0;2.0;0.0;0.0;0.0;11.0;16.0;16.0;16.0;16.0;1.0;-0.215325992309636;0.8902094865187591
